Event	ID	Name			Wwise Object Path	Notes
	3091829992	Wwizard_DialogueLine_Q2_3			\NPCs\Dialogue\Quest 2\Wwizard_DialogueLine_Q2_3	
	3091829993	Wwizard_DialogueLine_Q2_2			\NPCs\Dialogue\Quest 2\Wwizard_DialogueLine_Q2_2	
	3091829994	Wwizard_DialogueLine_Q2_1			\NPCs\Dialogue\Quest 2\Wwizard_DialogueLine_Q2_1	
	4165450549	Wwizard_DialogueLine_Q1_1			\NPCs\Dialogue\Quest 1\Wwizard_DialogueLine_Q1_1	
	4165450550	Wwizard_DialogueLine_Q1_2			\NPCs\Dialogue\Quest 1\Wwizard_DialogueLine_Q1_2	
	4165450551	Wwizard_DialogueLine_Q1_3			\NPCs\Dialogue\Quest 1\Wwizard_DialogueLine_Q1_3	

Streamed Audio	ID	Name	Audio source file	Generated audio file	Wwise Object Path	Notes
	267519239	Wwizard_DialogueLine_Q2_2	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Android_High\Voices\English(US)\Wwizard_VoiceLine_Q2_1_7F76E254.wem	267519239.wem	\Actor-Mixer Hierarchy\Default Work Unit\World\NPCs\QuestGivers\Dialogue Wwizard\Wwizard_DialogueLine_Q2_2	
	674148759	Wwizard_DialogueLine_Q1_1	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Android_High\Voices\English(US)\Wwizard_VoiceLine_Q1_1_CB7D3DC4.wem	674148759.wem	\Actor-Mixer Hierarchy\Default Work Unit\World\NPCs\QuestGivers\Dialogue Wwizard\Wwizard_DialogueLine_Q1_1	
	716183293	Wwizard_DialogueLine_Q2_1	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Android_High\Voices\English(US)\Wwizard_VoiceLine_Q2_1_59D3C218.wem	716183293.wem	\Actor-Mixer Hierarchy\Default Work Unit\World\NPCs\QuestGivers\Dialogue Wwizard\Wwizard_DialogueLine_Q2_1	
	952108554	Wwizard_DialogueLine_Q1_3	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Android_High\Voices\English(US)\Wwizard_VoiceLine_Q1_1_BEBEAD96.wem	952108554.wem	\Actor-Mixer Hierarchy\Default Work Unit\World\NPCs\QuestGivers\Dialogue Wwizard\Wwizard_DialogueLine_Q1_3	
	1008779655	Wwizard_DialogueLine_Q1_2	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Android_High\Voices\English(US)\Wwizard_VoiceLine_Q1_1_8AB70DBB.wem	1008779655.wem	\Actor-Mixer Hierarchy\Default Work Unit\World\NPCs\QuestGivers\Dialogue Wwizard\Wwizard_DialogueLine_Q1_2	
	1065470308	Wwizard_DialogueLine_Q2_3	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Android_High\Voices\English(US)\Wwizard_VoiceLine_Q2_1_B0D2F0FF.wem	1065470308.wem	\Actor-Mixer Hierarchy\Default Work Unit\World\NPCs\QuestGivers\Dialogue Wwizard\Wwizard_DialogueLine_Q2_3	

