Event	ID	Name			Wwise Object Path	Notes
	2541270269	Destruction_VolcanicBoulder_Impact			\Destruction\RegionSpecific\Destruction_VolcanicBoulder_Impact	
	3408705206	Ambient_Region_Desert			\Ambient\SoundBankSpecific\Ambient_Region_Desert	

Switch Group	ID	Name			Wwise Object Path	Notes
	3917897988	Distance_to_Player			\General\Distance_to_Player	

Switch	ID	Name	Switch Group			Notes
	1183803292	Far	Distance_to_Player			
	1451272583	Close	Distance_to_Player			
	2849147824	Medium	Distance_to_Player			

Game Parameter	ID	Name			Wwise Object Path	Notes
	207908541	Time_of_Day			\Ambient\Time_of_Day	
	3917897988	Distance_to_Player			\Generic\Distance_to_Player	

Effect plug-ins	ID	Name	Type				Notes
	1937843064	WAG_Desert	Wwise Convolution Reverb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	9581397	Player_Footstep_dirt_walk_01	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Mac\SFX\Character\Footsteps\BAS_Player_Footstep_dirt_walk_01_EA4E482E.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Dirt\Player_Footstep_dirt_walk\Player_Footstep_dirt_walk_01		47188
	21818885	Player_Footstep_sand_run_02	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Mac\SFX\Character\Footsteps\BAS_Player_Footstep_sand_run_02_EA4E482E.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Sand\Player_Footstep_sand_run\Player_Footstep_sand_run_02		26926
	112435967	Player_Footstep_water_walk_06	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Mac\SFX\Character\Footsteps\BAS_Player_Footstep_water_walk_06_EA4E482E.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Water\Player_Footstep_water_walk\Player_Footstep_water_walk_06		47000
	117108038	Player_Footstep_water_walk_01	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Mac\SFX\Character\Footsteps\BAS_Player_Footstep_water_walk_01_EA4E482E.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Water\Player_Footstep_water_walk\Player_Footstep_water_walk_01		47188
	123174017	Player_Footstep_sand_run_03	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Mac\SFX\Character\Footsteps\BAS_Player_Footstep_sand_run_03_EA4E482E.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Sand\Player_Footstep_sand_run\Player_Footstep_sand_run_03		29132
	130892503	Player_Footstep_water_run_02	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Mac\SFX\Character\Footsteps\BAS_Player_Footstep_water_run_02_EA4E482E.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Water\Player_Footstep_water_run\Player_Footstep_water_run_02		25424
	142147549	Boulder_BigImpact	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Mac\SFX\Character\Weapons\Impact_Crate_Loud_34394A6E.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Objects\Objects\Object_Destruction\Object_Destruction\Destruction_VolcanicBoulder\Boulder_Near\Boulder_BigImpact		13859
	161554800	Boulder_Far	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Mac\SFX\Objects\Explosion_60425C79_A3503A30.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Objects\Objects\Object_Destruction\Object_Destruction\Destruction_VolcanicBoulder\Boulder_Far\Boulder_Far		8849
	166328661	Player_Footstep_water_run_05	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Mac\SFX\Character\Footsteps\BAS_Player_Footstep_water_run_05_EA4E482E.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Water\Player_Footstep_water_run\Player_Footstep_water_run_05		23238
	177438976	Player_Footstep_stone_walk_03	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Mac\SFX\Character\Footsteps\BAS_Player_Footstep_stone_walk_03_EA4E482E.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Stone\Player_Footstep_stone_walk\Player_Footstep_stone_walk_03		48038
	219948321	Player_Footstep_sand_walk_04	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Mac\SFX\Character\Footsteps\BAS_Player_Footstep_sand_walk_04_EA4E482E.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Sand\Player_Footstep_sand_walk\Player_Footstep_sand_walk_04		26790
	229113548	Player_Footstep_water_run_03	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Mac\SFX\Character\Footsteps\BAS_Player_Footstep_water_run_03_EA4E482E.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Water\Player_Footstep_water_run\Player_Footstep_water_run_03		26464
	229536716	Player_Footstep_wood_run_02	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Mac\SFX\Character\Footsteps\BAS_Player_Footstep_wood_run_02_EA4E482E.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Wood\Player_Footstep_wood_run\Player_Footstep_wood_run_02		13864
	268338743	Boulder_Explosion	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Mac\SFX\Objects\Explosion_E48386FE.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Objects\Objects\Object_Destruction\Object_Destruction\Destruction_VolcanicBoulder\Boulder_Near\Boulder_Explosion		12970
	288556157	Player_Footstep_water_run_01	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Mac\SFX\Character\Footsteps\BAS_Player_Footstep_water_run_01_EA4E482E.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Water\Player_Footstep_water_run\Player_Footstep_water_run_01		26724
	292435902	Player_Footstep_stone_walk_06	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Mac\SFX\Character\Footsteps\BAS_Player_Footstep_stone_walk_06_EA4E482E.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Stone\Player_Footstep_stone_walk\Player_Footstep_stone_walk_06		47000
	308005468	Boulder_Debris	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Mac\SFX\Objects\DebrisDirt_4B26C394.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Objects\Objects\Object_Destruction\Object_Destruction\Destruction_VolcanicBoulder\Boulder_Near\Boulder_Debris		12676
	311624009	Boulder_Debris_HeavyRocks	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Mac\SFX\Character\Weapons\RockImpact_C1ABD6C3_6966F40A.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Objects\Objects\Object_Destruction\Object_Destruction\Destruction_VolcanicBoulder\Boulder_Near\Boulder_Debris_HeavyRocks		18056
	325360287	Player_Footstep_sand_walk_06	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Mac\SFX\Character\Footsteps\BAS_Player_Footstep_sand_walk_06_EA4E482E.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Sand\Player_Footstep_sand_walk\Player_Footstep_sand_walk_06		23654
